,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
PF3D7_0501000,59.16375,81.02906920115,110.76045574700001,147.0435,196.6173181515,259.7260897065,325.313,388.127567116,454.117884382,529.025,631.8321585035001,752.865629767,854.8810000000001,939.9620437574999,1014.0642996565,1045.751,1020.6284872125,961.2720855360001,891.6985,771.001641263,599.1260774965,461.36449999999996,374.95949332600003,301.06316704899996,240.83249999999998,188.9809564395,142.90127587265,107.76935,80.6683553655,57.560561592949995,41.9405,32.3289975758,25.1326518609,20.67465,20.7918474102,35.2259837094
PF3D7_0512200,2.70886,2.88803455823,3.2354913720800003,3.7419599999999997,5.018962966105,7.190920784815001,9.51791,12.037259600599999,14.841186693549998,17.272100000000002,19.0332615071,20.58915013405,22.424,25.314096135,28.67493103105,30.94955,32.35484308565,33.694407653949995,34.291349999999994,33.2831830449,31.04754942315,28.76775,25.954739694700002,22.247172968500003,19.0199,16.738792026,14.7572791833,12.78155,10.23121663192,7.43123627105,5.445815,4.389649419665,3.603451416195,2.99045,2.95019037242,2.4157479639900004
PF3D7_1210700,3.02117,2.40549859653,1.731600479705,1.3416765000000002,1.227985305075,1.15282503969,1.1134558,1.09369464501,1.0819003421,1.0821455500000001,1.09635532502,1.1169996114499998,1.1339684,1.150016929535,1.1771715680650001,1.219229,1.3548324214500003,1.6357920272750002,2.0256550000000004,2.867054288785,4.173576655115,5.4152000000000005,6.358984018515001,7.271510391805,8.37204,10.33533771215,12.6534810783,13.7717,13.449718544649999,12.838648200400002,12.4708,12.0158234843,11.089020380385,10.14118,6.10141923523,4.21581366784
PF3D7_0515700,1030.6,757.0399554840001,425.033008584,214.7645,136.76597074900002,82.0368698492,51.4644,35.566899782600004,24.3912574032,18.1175,15.0518375507,12.958939014000002,11.20652,9.122151348380001,7.12949984087,6.240425,7.984171665254999,11.538866108275,14.389689999999998,16.39918395345,19.2118917914,22.985999999999997,31.410427268299998,47.1010408327,68.60645,103.35670493225,161.7230753725,246.666,448.1237444095,785.341479077,1155.24,1616.975448275,2125.965888075,2423.525,1983.21080826,1478.2482832
PF3D7_0507400,731.6949999999999,587.533892166,328.97147888899997,154.06550000000001,92.77303270415,47.420764353850004,24.62085,16.963931975450002,12.003132176805,8.794325,6.328065711205,4.3951315783650005,3.2517300000000002,2.66723207222,2.25125636775,2.0203815,1.8996971874450002,1.81469114928,1.7825389999999999,1.8366314041649998,1.958819808335,2.088971,2.2077101843549998,2.36890813677,2.6223,3.581882228375,5.551420768144999,8.115305,11.629094386,17.473835857650002,26.772150000000003,73.95774780624998,160.00244071950002,235.836,448.528877966,581.0648834269999
PF3D7_1240400,3.33798,5.29172627143,8.18296117761,11.167300000000001,14.48982946745,17.99729501865,20.247799999999998,21.51473721485,22.767623888499998,23.60875,24.0268822255,24.17617501315,23.907,21.0531162877,15.703861487200001,11.092975,7.938547972449999,5.217098187195,3.5500049999999996,2.747401199745,2.1843714681049997,1.829723,1.5841270994899999,1.39144749099,1.28528,1.2379276259699998,1.2035186899900001,1.188387,1.1962988215550001,1.218518174895,1.2426255,1.286493372495,1.35386938432,1.4111465,1.6938801229,2.33832726033
PF3D7_1205200,29.7878,21.2747291474,12.41426013205,6.938395,4.68370503393,3.0878511844850003,2.28447,2.00539466865,1.831013116785,1.667794,1.4475630110849997,1.2325709204250002,1.124924,1.125970578685,1.1538004315850001,1.185632,1.2368385421499999,1.324771146545,1.429615,1.5663472016099997,1.76167648749,2.0133855,2.36174890181,2.8718634658899997,3.5787449999999996,5.059195112225,7.685659476650001,11.18662,17.34418130965,26.95443646035,38.266850000000005,56.19148217105,77.70960484220001,89.1775,102.502303486,62.328584750299996
PF3D7_0619600,1.290051,1.219839946615,1.1551462316399999,1.1267431500000002,1.16271265536,1.2393691273900003,1.3098345,1.3789371507100001,1.47607793417,1.5912375,1.7486298115850003,1.9493665630249999,2.1487749999999997,2.319887181185,2.4934482323900005,2.711355,3.0867344017400002,3.560032531515,3.9141250000000003,4.2054850444,4.51655186121,4.66915,4.814864835725,5.054623905014999,5.134265,4.820486821439999,4.260768839415,3.77212,3.32710748344,2.8136869353850003,2.42195,2.18516523726,1.998166084055,1.8433915,1.6508096316799998,1.47264517648
PF3D7_1010300,5694.415,5142.885588815,4206.179625875,3356.3199999999997,2679.442846565,2024.054911615,1505.7350000000001,1115.2834137599998,792.9778041985,578.613,453.26397434650005,360.464476659,283.6975,205.6053248055,134.410761917,91.9676,73.1754183315,59.9648134691,54.7361,55.30057793965,57.094286708199995,58.95465,62.7415117591,70.70131899485,82.2514,117.07804046550001,181.301596051,253.9905,332.859905173,429.638495316,544.415,686.6166990525,861.738261341,1063.9695,2563.86053065,4473.52970977
PF3D7_0105300,272.0325,192.839442653,108.74715862100001,57.251549999999995,37.935848724399996,24.7370387044,16.681649999999998,11.415924740649999,7.542059276890001,5.520515,4.703714714315,4.118869908420001,3.738625,3.170633635355,2.416525706565,2.03991,2.7555497008349996,4.310391623895001,5.816319999999999,7.142988746305,8.921959928415,11.40798,17.30252144745,27.11520511655,37.813,47.92108055365,60.6507343375,79.9981,138.97075105515,243.767090232,358.16949999999997,500.710498108,657.733003403,744.7349999999999,779.8657193339999,515.734772001
PF3D7_1133400,2124.9049999999997,1707.56963481,958.0078026995,450.0755,273.8397733865,145.946950691,80.12195,54.80945290715,37.965733810100005,27.5831,20.8527569493,15.97905083385,12.474,9.71627003236,7.53412700545,6.113989999999999,5.183003643945,4.47754682197,4.19789,4.31397069129,4.63339916036,5.1129549999999995,8.38602934805,15.32644965885,23.251649999999998,31.79703499925,42.824818857050005,56.99265,74.96486660635,100.63700259425,139.5135,317.869084163,631.7371180189999,891.26,1589.62307273,1887.1848697
