gene,expr,timepoint
PF3D7_0702500,26.630600,51
PF3D7_0811400,43.262300,6
PF3D7_0811400,44.074600,48
PF3D7_0710300,6.546730,6
PF3D7_0710300,73.959000,27
PF3D7_0710300,7.775240,48
PF3D7_1104800,1.382713,9
PF3D7_1104800,2.158910,57
PF3D7_0525800,3.606160,27
PF3D7_1148700,4.809050,6
PF3D7_1148700,5.498520,42
PF3D7_1148700,3.281610,48
PF3D7_0916500,2.404450,18
PF3D7_0916500,11.509200,48
PF3D7_0916500,3.320650,57
PF3D7_0916500,2.481740,63
PF3D7_0726900,1.294653,6
PF3D7_0726900,4.172580,48
PF3D7_0726900,2.271580,54
PF3D7_1017100,1.305438,18
PF3D7_1017100,1.198228,24
PF3D7_1017100,236.061000,48
PF3D7_0206200,5.058250,15
PF3D7_0206200,3.080050,21
PF3D7_0206200,2.556040,27
PF3D7_0206200,153.235000,51
PF3D7_API02300,2.582000,18
PF3D7_API02300,1.365168,27
PF3D7_1411000,1.144480,30
PF3D7_1411000,86.845100,51
PF3D7_1126700,1.219448,27
PF3D7_1126700,1.211218,33
PF3D7_1126700,5.697710,60
PF3D7_1125700,1.240100,24
PF3D7_1125700,134.861000,51
PF3D7_0214900,1.109133,24
PF3D7_0214900,1.220155,33
PF3D7_0214900,112.343000,48
PF3D7_0214900,1.299500,66
PF3D7_1231200,1.060551,30
PF3D7_1231200,1.934174,39
PF3D7_1231200,48.066100,51
PF3D7_0620400,1.041781,30
PF3D7_1324600,1.235341,9
PF3D7_1324600,1.106783,15
PF3D7_1324600,1.101950,21
PF3D7_1324600,1.141963,63
PF3D7_1473400,1.049908,21
PF3D7_1473400,1.025731,27
PF3D7_0408500,1.035164,15
PF3D7_0408500,9.888900,48
PF3D7_0402200,1.148236,15
PF3D7_0402200,1.026668,30
PF3D7_0617900,1326.590000,15
PF3D7_0617900,790.350000,21
PF3D7_0617900,748.842000,27
PF3D7_0617900,5703.430000,48
PF3D7_1001200,9.066490,12
PF3D7_1001200,153.859000,48
PF3D7_1001200,15.734900,57
PF3D7_API02900,33.053700,27
PF3D7_API02900,70.719500,66
PF3D7_1115300,157.873000,18
PF3D7_1115300,10.104640,45
PF3D7_1017400,165.844000,21
PF3D7_1017400,13.148800,48
PF3D7_0932200,2.811170,27
PF3D7_0823700,1.000000,3
PF3D7_0823700,52.096000,15
PF3D7_0823700,79.478200,21
PF3D7_0823700,60.156800,36
PF3D7_0823700,17.044900,48
PF3D7_1362200,85.073200,21
PF3D7_1362200,12.747800,45
PF3D7_1356200,2.774530,6
PF3D7_1356200,12.259300,48
PF3D7_1356200,12.846000,54
PF3D7_1434800,1.289554,9
PF3D7_1434800,13.730700,48
PF3D7_1434800,2.965270,57
PF3D7_1427800,34.860700,15
PF3D7_1427800,5.675400,45
PF3D7_1427800,45.009500,66
PF3D7_0934100,5.070310,3
PF3D7_0934100,45.343400,21
PF3D7_0934100,8.017500,48
PF3D7_1108900,2.129350,3
PF3D7_1108900,19.183100,18
PF3D7_1108900,3.305860,51
PF3D7_1421100,2.359880,27
PF3D7_1313900,2.790600,3
PF3D7_1313900,5.326250,51
PF3D7_0509600,2.636220,9
PF3D7_0509600,35.406500,33
PF3D7_0509600,5.261620,48
PF3D7_0509600,3.769740,54
PF3D7_0318100,1.261781,9
PF3D7_0318100,2.584660,48
PF3D7_0318100,2.047840,57
PF3D7_1241500,1.000000,9
PF3D7_1241500,3.248670,48
PF3D7_1241500,1.475475,57
PF3D7_0503600,3.186200,21
PF3D7_0503600,2.284080,27
PF3D7_0503600,4.501890,39
PF3D7_0503600,128.817000,51
PF3D7_1440300,1.167410,9
PF3D7_1440300,4.002240,48
PF3D7_1440300,1.637212,57
PF3D7_1440300,2.001620,63
PF3D7_1421600,4.986900,3
PF3D7_1421600,32.764800,18
PF3D7_1421600,34.460600,24
PF3D7_1421600,31.023300,30
PF3D7_1421600,7.142740,48
PF3D7_1234000,1.978552,18
PF3D7_1234000,4.327310,48
PF3D7_1234000,2.572070,60
PF3D7_1030200,1.349727,30
PF3D7_1239500,1.132123,12
PF3D7_1239500,1.144588,63
PF3D7_0730500,1.053421,24
PF3D7_0730500,47.471700,48
PF3D7_0323400,1.300496,30
PF3D7_0323400,206.852000,51
PF3D7_0723300,1.942079,15
PF3D7_0723300,1.118529,24
PF3D7_1022700,1.475749,18
PF3D7_1022700,1.100664,27
PF3D7_1022700,161.131000,48
PF3D7_1435600,1.048684,27
PF3D7_1435600,1.112961,33
PF3D7_0214600,1.023240,30
PF3D7_0214600,55.502300,51
PF3D7_0724900,1.052661,24
PF3D7_0724900,1.031375,30
PF3D7_0724900,1.180331,39
PF3D7_1232000,1.054789,9
PF3D7_1232000,1.000000,63
PF3D7_1232000,1.083072,21
PF3D7_1205200,1.381409,12
PF3D7_1205200,1.091297,18
PF3D7_1205200,1.000000,27
PF3D7_1205200,45.972000,48
PF3D7_1010300,69.732700,33
PF3D7_1010300,3358.930000,51
PF3D7_1229100,38.580000,39
PF3D7_1229100,40.016300,45
PF3D7_0201800,646.661000,21
PF3D7_0201800,21.643200,45
PF3D7_1473200,6.953460,9
PF3D7_1473200,155.888000,36
PF3D7_1473200,32.230500,48
PF3D7_1473200,9.529670,57
PF3D7_1223100,1.503957,27
PF3D7_1434700,1.281804,9
PF3D7_1434700,28.772700,21
PF3D7_1434700,9.537660,51
PF3D7_1434700,7.915030,57
PF3D7_0512700,3.089410,3
PF3D7_0512700,50.900000,27
PF3D7_0512700,4.947900,48
PF3D7_0617000,6.048950,3
PF3D7_0617000,5.047220,48
PF3D7_1336900,5.749570,3
PF3D7_1336900,46.330700,18
PF3D7_1336900,7.164110,48
PF3D7_1230400,2.912820,9
PF3D7_1230400,2.236690,18
PF3D7_1230400,28.058400,48
PF3D7_1230400,2.534630,63
PF3D7_1127400,3.410860,6
PF3D7_1127400,45.583000,27
PF3D7_1127400,30.084800,36
PF3D7_1127400,6.284320,48
PF3D7_1127400,8.607980,54
PF3D7_1028700,1.279450,24
PF3D7_1028700,357.169000,51
PF3D7_1118200,6.010050,3
PF3D7_1118200,6.460230,48
PF3D7_1118200,6.057880,54
PF3D7_0730400,14.314500,15
PF3D7_0730400,1.919846,27
PF3D7_0730400,2.138310,33
PF3D7_0730400,425.016000,51
PF3D7_1348300,5.325740,3
PF3D7_1348300,7.503970,48
PF3D7_1219400,42.124500,21
PF3D7_1219400,2.262160,39
PF3D7_1219400,34.879100,63
PF3D7_1352800,1.923835,6
PF3D7_1352800,5.639180,48
PF3D7_1352800,3.484430,54
PF3D7_1422100,3.984700,21
PF3D7_1422100,39.284700,48
PF3D7_0321500,1.123202,12
PF3D7_0321500,1.122877,18
PF3D7_0321500,14.377200,48
PF3D7_0321500,1.269650,63
PF3D7_1106300,1.186274,12
PF3D7_1106300,1.457478,21
PF3D7_1106300,1.443969,60
PF3D7_1106300,1.428838,66
PF3D7_0221200,1.743375,12
PF3D7_0221200,4.359250,21
PF3D7_0221200,2.162420,54
PF3D7_0221200,3.196470,63
PF3D7_1311200,6.018520,6
PF3D7_1311200,7.791500,48
PF3D7_0516600,2.351320,15
PF3D7_0516600,3.080070,21
PF3D7_0516600,8.336350,48
PF3D7_0516600,3.239430,57
PF3D7_0516600,2.503210,63
PF3D7_0411400,1.783451,3
PF3D7_0411400,10.663080,18
PF3D7_0411400,11.458700,30
PF3D7_0411400,2.180110,48
PF3D7_1342900,9.214770,12
PF3D7_1342900,5.067070,48
PF3D7_API04700,1.000000,18
PF3D7_API04700,1.155900,27
PF3D7_1330600,1.000000,15
PF3D7_1330600,1.164991,24
PF3D7_1330600,6.846360,48
PF3D7_1330600,1.154969,63
PF3D7_0525300,1.478151,18
PF3D7_0525300,1.202345,27
PF3D7_0525300,63.590900,51
PF3D7_1320400,1.183483,9
PF3D7_1320400,3.796890,27
PF3D7_1320400,1.718467,57
PF3D7_1320400,1.736028,63
PF3D7_0906000,1.201353,9
PF3D7_0906000,2.243540,48
PF3D7_0906000,1.508799,54
PF3D7_0906000,1.686718,63
PF3D7_1435300,1.182342,24
PF3D7_1435300,40.938500,48
PF3D7_1014900,1.336658,15
PF3D7_1014900,1.076242,24
PF3D7_1014900,103.051000,48
PF3D7_0818100,1.040628,30
PF3D7_0818100,116.248000,51
PF3D7_1468400,1.105383,27
PF3D7_1315300,1.000000,18
PF3D7_0811000,1.111681,15
PF3D7_0811000,1.000000,24
PF3D7_0811000,14.174300,48
PF3D7_0811000,1.159782,60
PF3D7_0811000,1.111057,66
PF3D7_0621100,1.611669,15
PF3D7_0621100,1.393108,24
PF3D7_0621100,1.475853,30
PF3D7_0621100,78.528100,48
PF3D7_1324500,1.023980,18
PF3D7_1324500,1.043853,63
PF3D7_0508900,1.086411,24
PF3D7_0508900,1.237131,30
PF3D7_0508900,45.893300,48
PF3D7_0423300,1.099317,21
PF3D7_0423300,1.153614,27
PF3D7_0423300,1.190096,33
PF3D7_0423300,1.691478,63
PF3D7_1304600,1.033815,12
PF3D7_1304600,1.080070,57
PF3D7_1304600,1.046256,63
PF3D7_0507300,1.700915,12
PF3D7_0507300,1.023169,30
PF3D7_1223000,1.317066,15
PF3D7_1223000,1.000000,27
PF3D7_1223000,1.579414,33
PF3D7_0623300,1.000000,18
PF3D7_0623300,11.905900,48
PF3D7_0623300,1.308631,60
PF3D7_0623300,1.062567,66
PF3D7_0108900,1.187370,18
PF3D7_0108900,1.000000,36
PF3D7_0503400,7.109190,24
PF3D7_1351800,18.306400,45
PF3D7_1351800,197.422000,63
PF3D7_0532400,4.274220,6
PF3D7_0532400,15.997800,48
PF3D7_0532400,9.026020,54
PF3D7_1134000,15.004300,6
PF3D7_1134000,19.284300,51
PF3D7_0208700,11.575700,3
PF3D7_0208700,128.666000,18
PF3D7_0208700,138.631000,27
PF3D7_0208700,15.863000,48
PF3D7_1022400,21.098800,3
PF3D7_1022400,63.736700,15
PF3D7_1022400,29.652000,48
PF3D7_0810300,2.196970,24
PF3D7_0520100,4.266370,3
PF3D7_0520100,5.568690,48
PF3D7_0616800,1.910799,12
PF3D7_0616800,32.647400,36
PF3D7_0616800,7.373610,48
PF3D7_0616800,2.047540,57
PF3D7_1224600,5.997810,3
PF3D7_1224600,59.187100,21
PF3D7_1224600,7.961750,42
PF3D7_1224600,7.399560,48
PF3D7_1224600,9.320500,54
PF3D7_0919700,2.268010,6
PF3D7_0919700,64.766500,27
PF3D7_0919700,3.194210,48
PF3D7_1421500,2.605380,3
PF3D7_1421500,23.815400,39
PF3D7_1421500,8.309500,45
PF3D7_1421500,34.712200,60
PF3D7_1429000,3.349520,6
PF3D7_1429000,42.502800,27
PF3D7_1429000,6.571490,48
PF3D7_1429000,32.865000,63
PF3D7_0920100,1.731560,6
PF3D7_0920100,27.458700,27
PF3D7_0920100,3.531830,48
PF3D7_0107000,1.420963,15
PF3D7_0107000,2.191690,24
PF3D7_0107000,80.048600,48
PF3D7_0107000,2.119300,63
PF3D7_1119700,7.250580,18
PF3D7_1119700,1.955187,27
PF3D7_1119700,3.091300,33
PF3D7_1119700,45.566400,51
PF3D7_1119700,22.543400,57
PF3D7_0315400,1.112526,15
PF3D7_0315400,1.429737,21
PF3D7_0315400,1.459978,60
PF3D7_0105200,1.123805,12
PF3D7_0105200,6.826910,48
PF3D7_0105200,1.790332,63
PF3D7_1307500,1.000000,24
PF3D7_1307500,3.158470,33
PF3D7_0626100,1.130844,12
PF3D7_0626100,18.378100,30
PF3D7_0626100,6.104800,48
PF3D7_0626100,1.165100,60
PF3D7_API03600,5.065500,18
PF3D7_API03600,4.949550,27
PF3D7_1365500,1.553179,9
PF3D7_1365500,4.398960,48
PF3D7_1365500,2.196510,57
PF3D7_1458400,1.598609,3
PF3D7_1458400,19.585000,27
PF3D7_1458400,2.645180,48
PF3D7_1310900,6.830410,6
PF3D7_1310900,29.924600,27
PF3D7_1310900,4.796990,48
PF3D7_0512200,2.434580,6
PF3D7_0512200,2.725600,51
PF3D7_0512200,11.158900,63
PF3D7_1035700,1.232714,27
PF3D7_0218000,1.235804,12
PF3D7_0218000,1.188146,18
PF3D7_0218000,16.868400,48
PF3D7_0218000,1.172033,63
PF3D7_0217500,1.933317,21
PF3D7_0217500,1.418726,30
PF3D7_0518100,1.285922,9
PF3D7_0518100,21.349100,33
PF3D7_0518100,1.842356,57
PF3D7_0609900,11.322400,3
PF3D7_0609900,2.879800,27
PF3D7_0609900,3.631980,33
PF3D7_1365400,1.515229,6
PF3D7_1365400,16.143200,24
PF3D7_1365400,1.990633,48
PF3D7_1116100,1.449206,18
PF3D7_1116100,1.245980,24
PF3D7_0216700,1.275821,24
PF3D7_0216700,11.441200,39
