gene,expr,timepoint
PF3D7_1406800,5.481370,51
PF3D7_0413700,3.581760,12
PF3D7_0413700,2.394940,45
PF3D7_1125400,3.842290,33
PF3D7_1125400,83.277600,48
PF3D7_0923800,3.381070,12
PF3D7_0923800,3.231620,45
PF3D7_1350500,35.625300,21
PF3D7_1350500,36.087500,60
PF3D7_1132300,5.091460,9
PF3D7_1132300,4.007950,42
PF3D7_0928900,10.712400,30
PF3D7_0113000,92.609700,18
PF3D7_0113000,7.264760,30
PF3D7_0924400,40.697300,18
PF3D7_0924400,37.722800,54
PF3D7_1019500,1.692260,12
PF3D7_1019500,1.397854,48
PF3D7_0525700,2.363320,6
PF3D7_0525700,1.352096,12
PF3D7_0525700,1.235897,45
PF3D7_0824400,4.594190,39
PF3D7_0824400,63.832600,60
PF3D7_1345900,3.931740,6
PF3D7_1345900,4.034180,42
PF3D7_0112200,3.893830,3
PF3D7_0112200,2.738470,39
PF3D7_1125300,4.138620,3
PF3D7_1125300,3.379280,36
PF3D7_1410700,2.127510,9
PF3D7_1410700,1.396434,45
PF3D7_0516600,6.485670,3
PF3D7_0516600,5.918510,42
PF3D7_1229300,2.999650,15
PF3D7_1229300,3.752930,45
PF3D7_1229300,2.464600,54
PF3D7_0504400,2.531800,9
PF3D7_0504400,1.813367,45
PF3D7_0617300,3.013170,18
PF3D7_0617300,1.539933,48
PF3D7_1218000,2.018200,18
PF3D7_1218000,1.936640,57
PF3D7_0506900,3.976650,15
PF3D7_0506900,4.882370,21
PF3D7_0506900,3.293490,51
PF3D7_0411900,2.431650,12
PF3D7_0411900,1.909988,45
PF3D7_0802100,1.860128,15
PF3D7_0802100,1.356982,51
PF3D7_1440200,1.878234,6
PF3D7_1440200,1.583504,42
PF3D7_0521400,1.838715,6
PF3D7_0521400,1.575295,42
PF3D7_1458300,1.293277,15
PF3D7_1458300,1.227790,51
PF3D7_1460900,2.048270,9
PF3D7_1460900,1.563905,48
PF3D7_1306200,1.769184,9
PF3D7_1306200,1.601361,15
PF3D7_1306200,1.331158,45
PF3D7_1007200,1.563889,15
PF3D7_1007200,1.333744,54
PF3D7_1215000,1.151432,12
PF3D7_1215000,1.608741,45
PF3D7_1215000,1.000000,51
PF3D7_1242500,1.287637,9
PF3D7_1242500,1.240794,45
PF3D7_1242500,27.368500,63
PF3D7_0908200,1.297967,15
PF3D7_0908200,1.106815,51
PF3D7_1357200,2.680830,6
PF3D7_1357200,2.123360,42
PF3D7_1431600,1.571667,9
PF3D7_1431600,1.876000,15
PF3D7_1431600,1.191427,45
PF3D7_0603500,2.127020,9
PF3D7_0603500,2.145450,15
PF3D7_0603500,1.624337,48
PF3D7_1420200,2.609790,12
PF3D7_1420200,2.586400,51
PF3D7_1330500,1.583219,12
PF3D7_1330500,1.414054,48
PF3D7_1427600,1.744279,6
PF3D7_1427600,1.570581,42
PF3D7_0204800,1.258799,9
PF3D7_0204800,1.047994,42
PF3D7_0204800,1.953396,51
PF3D7_1222000,1.923247,3
PF3D7_1222000,1.300322,42
PF3D7_0508500,2.220280,15
PF3D7_0508500,1.857054,51
PF3D7_1450800,1.114396,6
PF3D7_1450800,1.000000,42
PF3D7_1450800,1.101877,48
PF3D7_0533100,1.010022,30
PF3D7_0533100,1.759670,54
PF3D7_0533100,1.099839,60
PF3D7_0533100,1.004669,66
PF3D7_0817900,487.986000,15
PF3D7_0817900,656.601000,48
PF3D7_0821400,127.428000,21
PF3D7_0821400,152.677000,54
PF3D7_0320700,6.035470,12
PF3D7_0320700,3.430940,48
PF3D7_0802200,17.274300,6
PF3D7_0802200,10.083570,42
PF3D7_1028800,1.000000,12
PF3D7_1028800,2.202490,45
PF3D7_1028800,1.508814,51
PF3D7_0617000,7.031100,33
PF3D7_1414000,5.852930,12
PF3D7_1414000,4.556060,48
PF3D7_1343100,3.125790,15
PF3D7_1343100,2.098330,48
PF3D7_1344800,11.226500,33
PF3D7_0614000,5.457040,12
PF3D7_0614000,5.142060,45
PF3D7_1462700,3.001700,12
PF3D7_1462700,2.248610,45
PF3D7_1323700,5.328070,15
