,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
PF3D7_1200400,1.8682105,2.127162581375,2.47229043555,2.64907,2.65230696603,2.72330566622,2.97729,4.4071852552549995,6.944577099150001,9.112680000000001,16.584093277,19.5423022178,21.2042,21.6458885828,21.898377213099998,22.3466,24.4806440915,28.128509582,31.182,32.8127997132,34.1254633878,35.9111,39.113542363600004,43.563100678400005,48.3806,54.6960421526,61.4920988541,64.6686,60.275278192100004,51.238556384300004,43.7733,39.7778962857,36.55924937,33.445,30.4057150513,27.461743668,24.0154,18.8533729395,12.8721337192,8.63867,6.39936453074,4.72494133825,3.6689,2.9814056806,2.4683628403,2.26688,2.27569222222,2.2920577777799997,2.30087,2.12041518519,1.7852848148099998,1.60483,1.68100293519,1.8713825370400003
PF3D7_1370300,201.301,264.20279431,343.50141807200004,429.015,515.0220516114999,617.0815895015,756.9325000000001,1077.74746211,1530.03327383,1846.5300000000002,2186.45306627,2306.76428827,2456.09,2654.8933033000003,2907.12211686,3268.01,4137.89241768,5445.46243246,6538.49,7132.22202252,7609.207603399999,8318.17,10107.575264399999,12787.1926019,15147.7,17102.131151499998,18848.332242400003,19604.2,18650.6385128,16657.388136700003,14925.6,13921.671172499999,13074.12455,12127.3,10992.7139305,9721.12801064,8265.75,6201.49688142,3853.26474257,2299.23,1613.23668989,1126.41953904,802.8910000000001,557.657185647,368.157648379,292.155,344.29462963,441.12537037,493.265,385.403062963,185.08803703700002,77.2261,106.411281054,175.181995441
PF3D7_0425800,1.9248885000000002,2.434971811695,3.23265398918,3.6475275,3.6103856806200003,3.6734977501299997,4.09867,6.60442160801,10.98976248013,14.637235,25.8153694175,30.7629799838,33.398,33.9299059524,34.2164691216,34.7641,39.2167060118,47.13697764770001,52.9095,54.9656324499,56.366825294499996,58.4428,62.407231761999995,68.6877483299,77.435,100.668445624,133.307778367,149.85399999999998,131.710388339,96.3949322331,72.5807,65.9700380979,61.6339523232,57.2985,52.534125420500004,47.7703840563,42.022,32.918219850300005,22.0252601704,14.2633,10.1596121798,7.07862707244,5.19626,4.08262228384,3.2734509771499996,2.8931,2.8102864178099995,2.7653080616500003,2.68989,2.36888671486,1.8915338018799999,1.6461279999999998,1.7095030957100001,1.88160530253
PF3D7_0632500,2.300503,2.58586489145,2.94931350128,3.128715,3.1452389073899996,3.260679481445,3.5738399999999997,5.93494892864,10.21744791277,13.55496,21.861428032600003,25.1254543035,27.5187,28.8723097971,29.8682112796,31.3729,35.5278673401,41.680625220100005,46.5067,48.885517738599994,50.6882630219,53.0781,57.992618369700004,64.28366726670001,68.4858,70.3431595945,71.694657575,72.217,70.49135423220001,66.61726402,62.549,58.9929305702,55.204101614799995,50.9598,46.0518824332,40.4927708592,34.3906,26.6422725342,18.1629821313,12.0883,8.58990110723,5.925020609580001,4.35757,3.5139744978900005,2.9122535521499997,2.65371,2.61929335118,2.60173486432,2.57001,2.38779341502,2.10088120751,1.9514310000000001,2.05327307151,2.30295714302
PF3D7_0604200,52.99075,51.103297063750006,47.093249384900005,43.3582,37.023809426949995,27.749553893250003,21.73375,19.64660143225,17.9615234463,16.58165,11.1383414497,7.50052016927,5.6363900000000005,6.081123333330001,6.907056666669999,7.351789999999999,6.0313462963,3.5790937037,2.25865,2.58329790126,3.2946324691799997,3.99874,4.49632303824,4.9869442247,5.674980000000001,7.1592789123100005,9.28618101355,11.1313,12.2179885602,13.129166901800001,14.5298,18.192518428699998,24.147515434000002,30.4461,36.2057672057,42.3829579619,49.7874,60.412431159499995,73.2456554815,84.5882,93.3359040408,101.074732329,108.141,115.897596625,123.134798312,126.33,126.044452549,125.212238431,123.87,104.773324532,70.968584488,52.9286,55.1422074074,59.2531925926
PF3D7_1131000,21.0924,19.354350843699997,16.68448878925,14.827490000000001,13.838000974349999,12.716253127949999,11.6253,9.507913701179998,6.64545823948,5.208875,6.4293096296300005,6.519250370369999,6.56768,5.62982777778,3.8881022222199992,2.95025,2.97898888889,3.03236111111,3.0611,2.92079925926,2.66024074074,2.51994,2.6141216794799997,2.84309891452,3.12652,3.4536110439,3.9089249040199996,4.5551,6.047138734480001,8.305516233110001,10.291080000000001,11.5069482383,12.5461946527,14.0046,17.281470878,21.8428450454,25.3846,27.166238634099997,28.5142075921,30.2248,32.84309062,36.1928689012,39.9885,45.572927804399995,51.833836124399994,54.8027,52.303101375299995,46.592124972700006,40.3515,32.7727911537,24.4552197666,20.192,19.780439591900002,19.5710386742
PF3D7_1150400,2.2054584999999998,2.598681652475,3.08017942498,3.336717,3.308344088965,3.311569042085,3.597845,5.74407306943,9.56710057853,12.6783,21.824467735,25.9076338675,27.7044,27.198688888899998,26.2595111111,25.7538,29.0546005363,35.5116232948,39.9568,41.152192756999995,41.902098234,43.1018,45.8646110166,50.7016479664,57.6049,78.3243063521,108.491719843,123.92200000000001,106.289717258,72.5729456274,51.5418,47.738236484,45.433335853500004,42.9909,40.0596718439,36.9694455775,33.1056,26.5936869384,18.4670598546,12.4728,9.12726562837,6.56031069415,4.93926,3.9494112505400003,3.2224693721099995,2.84537,2.7255018777999998,2.6551890270599996,2.54877,2.21755536393,1.76275534863,1.533558,1.6966928743,2.08759041527
PF3D7_0617400,1.3328695,1.4829594992550001,1.6723039107,1.787118,1.81474899454,1.865898311235,2.0118125,2.6543525245499997,3.75737167702,4.735105,8.06860704216,9.89541352108,10.73142,10.4856966667,10.0293533333,9.78363,10.529044945399999,12.048208779600001,13.2655,13.802882333,14.2078328354,14.793,15.93636921,17.6678995356,19.7782,23.4046837962,27.8035085648,29.9434,27.125084009299997,21.5476124631,17.5272,16.0690175335,15.044487095,14.0692,13.096206080999998,12.166524374100002,11.0277,9.227022264550001,7.02977386288,5.26049,4.03387141273,3.02094828668,2.38075,2.00559630032,1.7287953168299999,1.620859,1.66032992593,1.7336330740700001,1.773104,1.61336348148,1.31670251852,1.156962,1.20933241031,1.3362354872799997
PF3D7_1300300,1.4375765,1.593277626415,1.7979913703500001,1.9025965,1.9073363158000003,1.94488730144,2.064778,2.6973459747249997,3.790873236535,4.671805,7.03458594383,8.179924217669999,8.685880000000001,8.688134998639999,8.689163599910001,8.691419999999999,9.57863048668,11.3773109523,12.8041,13.42812581,13.8953808157,14.5378,15.5984681383,17.126372098,19.1623,23.729312257800004,29.7976783511,32.829,29.344779814099997,22.540626294899997,17.8893,16.5538024517,15.6774110124,14.7033,13.4451123359,12.0579109114,10.497,8.40123694102,6.05246336908,4.37046,3.43830623315,2.7345267078799997,2.2720700000000003,1.94911006344,1.70287686505,1.604903,1.6070540740700001,1.61104892593,1.6132,1.51559096296,1.33431703704,1.236708,1.28534287123,1.4060828535699998
PF3D7_0828200,11.174665000000001,10.45368036104,9.711458161380001,9.1388,8.785009225005002,8.480401078375,8.087295000000001,7.380531153495,6.524760794284999,5.96702,3.4818212717500003,3.06922341365,2.90033,2.9806603022000004,3.1863417155000002,3.46441,3.97936707055,4.76457504768,5.57036,6.33794118267,7.127992056819999,7.870019999999999,8.52810264486,9.14641266514,9.7746,10.5081613773,11.2520721067,11.7702,11.9990494794,12.1544595728,12.4193,13.5742472641,15.5265641942,17.149,17.991894550999998,18.6625146707,19.619,22.2078360656,25.7039180328,27.458000000000002,27.133250440500003,26.367611992199997,25.474,24.3461156435,22.9855826086,21.8672,21.1993645572,20.6613120214,19.9341,18.5850725608,16.7492268293,14.9591,13.266518668599998,11.6160251017
