,Hour,Ring,Troph,Schizont
0,0.0,86.23188406,2.173913043,11.5942029
1,1.0,89.71014493,2.2826086953333333,8.007246377666668
2,2.0,93.1884058,2.391304347666667,4.420289855333334
3,3.0,96.66666667,2.5,0.833333333
4,4.0,96.34920635,3.0952380953333334,0.5555555553333333
5,5.0,96.03174603,3.6904761906666668,0.27777777766666667
6,6.0,95.71428571,4.285714286,0.0
7,7.0,93.86416861666666,5.8626073383333335,0.27322404366666664
8,8.0,92.01405152333334,7.439500390666667,0.5464480873333333
9,9.0,90.16393443,9.016393443,0.8196721309999999
10,10.0,86.48610121333333,12.967450701999999,0.5464480873333333
11,11.0,82.80826799666667,16.918507961,0.27322404366666664
12,12.0,79.13043478,20.86956522,0.0
13,13.0,73.78922189333333,26.210778106666666,0.0
14,14.0,68.44800900666667,31.551990993333334,0.0
15,15.0,63.10679612,36.89320388,0.0
16,16.0,48.63287720333333,51.36712279666667,0.0
17,17.0,34.15895828666666,65.84104171333334,0.0
18,18.0,19.68503937,80.31496063,0.0
19,19.0,14.652411567666665,66.99896458,18.348623853333333
20,20.0,9.619783765333333,53.68296853,36.697247706666666
21,21.0,4.587155963,40.36697248,55.04587156
22,22.0,3.877776106333333,38.65994886666667,57.46227503
23,23.0,3.1683962496666664,36.95292525333333,59.8786785
24,24.0,2.459016393,35.24590164,62.29508197
25,25.0,2.629443272,28.44776281,68.92279392
26,26.0,2.799870151,21.64962398,75.55050587
27,27.0,2.97029703,14.85148515,82.17821782
28,28.0,2.4598143269999997,12.538879788333332,85.00130588333333
29,29.0,1.9493316239999998,10.226274426666667,87.82439394666667
30,30.0,1.438848921,7.913669065,90.64748201
31,31.0,11.995268650666667,5.275779376666666,82.72895197
32,32.0,22.55168838033333,2.637889688333333,74.81042193
33,33.0,33.10810811,0.0,66.89189189
34,34.0,51.76394882333334,0.0,48.23605117666666
35,35.0,70.41978953666667,0.0,29.58021046333333
36,36.0,89.07563025,0.0,10.92436975
37,37.0,92.03681472333334,0.22675736966666668,7.736427905999999
38,38.0,94.99799919666667,0.45351473933333336,4.548486061999999
39,39.0,97.95918367,0.680272109,1.360544218
40,40.0,97.40488788,1.4411690603333334,1.153943059
41,41.0,96.85059208999999,2.2020660116666666,0.9473419000000001
42,42.0,96.2962963,2.9629629630000003,0.740740741
43,43.0,96.13226279999999,3.373910040666667,0.49382716066666665
44,44.0,95.9682293,3.7848571183333335,0.24691358033333333
45,45.0,95.8041958,4.195804196,0.0
46,46.0,90.41267374333333,9.587326254,0.0
47,47.0,85.02115168666667,14.978848312,0.0
48,48.0,79.62962963,20.37037037,0.0
49,49.0,69.90599162,30.09400838,0.0
50,50.0,60.18235361000001,39.81764638999999,0.0
51,51.0,50.458715600000005,49.541284399999995,0.0
52,52.0,44.1230147,55.876985299999994,0.0
53,53.0,37.7873138,62.2126862,0.0
54,54.0,31.451612899999997,68.5483871,0.0
55,55.0,24.671445636666665,51.56312226333333,23.765432099999998
56,56.0,17.891278373333332,34.57785742666666,47.530864199999996
57,57.0,11.11111111,17.59259259,71.2962963
58,58.0,7.953855493999999,13.914187409666665,78.13195709666667
59,59.0,4.796599877999999,10.235782229333331,84.96761789333333
60,60.0,1.6393442619999998,6.557377048999999,91.80327869
61,61.0,1.977851927,7.321437206666666,90.70071086666667
62,62.0,2.316359592,8.085497364333333,89.59814304333334
63,63.0,2.654867257,8.849557522000001,88.49557522
64,64.0,2.0935360999999997,6.870578801000001,91.03588509666668
65,65.0,1.5322049429999998,4.89160008,93.57619497333333
66,66.0,0.970873786,2.9126213589999996,96.11650485
67,67.0,3.6323238176666663,3.185528667333333,93.18214751333333
68,68.0,6.293773849333333,3.4584359756666663,90.24779017666667
69,69.0,8.955223881,3.731343284,87.31343284
