,Hour,Ring,Troph,Schizont
0,0,86.23188406,2.173913043,11.5942029
1,1,88.93719807000001,2.2479626597934295,8.718566861700058
2,2,93.96135266,2.348938704126398,3.752172923177156
3,3,96.66666667,2.5,0.833333333
4,4,96.54018221260509,2.8526078497229905,0.38811728378605337
5,5,96.20205754187681,3.479492076572013,0.1014660493374711
6,6,95.71428571,4.285714286,0.0
7,7,94.58151963784265,5.395374953877177,0.21250758951851847
8,8,92.57662954461158,6.980134277175387,0.6071645414814814
9,9,90.16393443,9.016393443,0.8196721309999999
10,10,87.17728315514717,12.08191277667889,0.6071645414814816
11,11,83.37995948611929,16.27870840560915,0.21250758951851856
12,12,79.13043478,20.86956522,0.0
13,13,74.7740879975089,25.308585009107595,0.0
14,14,69.7610224721092,30.280314031199048,0.0
15,15,63.10679612,36.89320388,0.0
16,16,50.04097985379688,51.61867598262116,0.0
17,17,32.527853727636554,70.79145794519947,0.0
18,18,19.68503937,80.31496063,0.0
19,19,12.727791210102627,70.63054561560288,13.322169998500282
20,20,7.394425357903723,52.06879990120573,38.876755899222786
21,21,4.587155963,40.36697248,55.04587156
22,22,3.4827569116412316,38.30075315198968,58.036242625140424
23,23,2.7344267000983935,37.1139304885657,59.790603674670535
24,24,2.459016393,35.24590164,62.29508197
25,25,2.591570632222223,29.512574756377443,68.14409692544986
26,26,2.837742790777778,21.066377246785486,76.05053362176702
27,27,2.97029703,14.85148515,82.17821782
28,28,2.573254927666667,12.066614158528107,86.13376773720314
29,29,1.8358910233333332,10.040793399805295,89.331654228046
30,30,1.438848921,7.913669065,90.64748201
31,31,6.6531079596984055,4.766616762611678,86.95929044177223
32,32,18.90498015150792,1.5040118185280609,77.99207884687773
33,33,33.10810811,0.0,66.89189189
34,34,52.47498578122526,0.0,48.65054544184818
35,35,75.29022167487906,0.0,25.38396724012405
36,36,89.07563025,0.0,10.92436975
37,37,93.65037361171886,0.09872429700276503,6.110929294542534
38,38,96.79184013197052,0.3486201737833078,2.8024407070405397
39,39,97.95918367,0.680272109,1.360544218
40,40,97.58432061719947,1.3087728439905069,1.0773784974173388
41,41,96.83992703773225,2.211610574989309,0.9151811350398903
42,42,96.2962963,2.9629629630000003,0.740740741
43,43,96.12695411758284,3.350066814300174,0.4487120867435575
44,44,96.01702395343072,3.65535609281068,0.14205151659400095
45,45,95.8041958,4.195804196,0.0
46,46,93.01079218514077,7.187121069769682,0.0
47,47,86.83529418844904,13.263662439082768,0.0
48,48,79.62962963,20.37037037,0.0
49,49,70.68874669542089,29.3112533050696,0.0
50,50,59.88995302037685,40.110046979868386,0.0
51,51,50.458715600000005,49.541284399999995,0.0
52,52,43.57668064630714,57.87896449022189,0.0
53,53,37.585714177947075,65.32557609511093,0.0
54,54,31.451612899999997,68.5483871,0.0
55,55,24.224260169262585,56.681448072981524,16.124796780078245
56,56,16.843731339223297,33.49099915485192,48.09321496015649
57,57,11.11111111,17.59259259,71.2962963
58,58,6.740665914395847,12.043965757851781,81.33177773725092
59,59,3.1375865495312563,8.07453634331478,88.84608181251434
60,60,1.6393442619999998,6.557377048999999,91.80327869
61,61,1.9026280014444448,7.15164606051852,90.94572593851854
62,62,2.3915835175555555,8.255288510481483,89.35312797148148
63,63,2.654867257,8.849557522000001,88.49557522
64,64,2.2182763571111113,7.310351850111115,90.47137179074076
65,65,1.4074646858888888,4.451827030888889,94.14070827925926
66,66,0.970873786,2.9126213589999996,96.11650485
67,67,3.0408904772962964,3.1248825988148154,93.8342269214815
68,68,6.885207189703704,3.5190820441851853,89.59571076851853
69,69,8.955223881,3.731343284,87.31343284
