,Hour,Ring,Troph,Schizont
0,0.0,2.777777778,0.0,97.22222222
1,1.0,34.344849052,0.0,65.65515094766667
2,2.0,65.911920326,0.0,34.08807967533333
3,3.0,97.4789916,0.0,2.521008403
4,4.0,98.05051053,0.0,1.9494894730000003
5,5.0,98.62202946000001,0.0,1.3779705430000002
6,6.0,99.19354839,0.0,0.806451613
7,7.0,99.10004675333333,0.0,0.8999532493333333
8,8.0,99.00654511666667,0.0,0.9934548856666666
9,9.0,98.91304348,0.0,1.086956522
10,10.0,99.27536232,0.0,0.7246376813333333
11,11.0,99.63768116,0.0,0.36231884066666664
12,12.0,100.0,0.0,0.0
13,13.0,100.0,0.0,0.0
14,14.0,100.0,0.0,0.0
15,15.0,100.0,0.0,0.0
16,16.0,99.71751412333333,0.28248587566666666,0.0
17,17.0,99.43502824666668,0.5649717513333333,0.0
18,18.0,99.15254237,0.847457627,0.0
19,19.0,98.91823238,1.081767617,0.0
20,20.0,98.68392239,1.316077607,0.0
21,21.0,98.4496124,1.5503875969999998,0.0
22,22.0,89.33677863666666,10.663221361333333,0.0
23,23.0,80.22394487333334,19.776055125666666,0.0
24,24.0,71.11111111,28.88888889,0.0
25,25.0,51.30035144666667,48.69964855333333,0.0
26,26.0,31.48959178333333,68.51040821666666,0.0
27,27.0,11.67883212,88.32116788,0.0
28,28.0,9.84774375,90.15225625000001,0.0
29,29.0,8.01665538,91.98334462,0.0
30,30.0,6.18556701,93.81443299,0.0
31,31.0,6.409425625666667,93.59057437333334,0.0
32,32.0,6.6332842413333335,93.36671575666666,0.0
33,33.0,6.857142857,93.14285714,0.0
34,34.0,9.997785161333333,86.90143964333333,3.1007751936666668
35,35.0,13.138427465666666,80.66002214666668,6.2015503873333335
36,36.0,16.27906977,74.41860465,9.302325581
37,37.0,11.833105337,62.74965800333334,25.417236660666667
38,38.0,7.387140904000001,51.08071135666667,41.53214774033333
39,39.0,2.9411764710000003,39.41176471,57.64705882
40,40.0,3.8440234853333335,36.44400133333333,59.71197518333333
41,41.0,4.746870499666667,33.476237956666665,61.77689154666667
42,42.0,5.649717514,30.50847458,63.84180791
43,43.0,5.155367231666666,21.554260831,73.29037194
44,44.0,4.661016949333334,12.600047082,82.73893597
45,45.0,4.166666667,3.645833333,92.1875
46,46.0,4.770531401333334,3.1551932363333335,92.07427536333333
47,47.0,5.374396135666666,2.664553139666667,91.96105072666667
48,48.0,5.97826087,2.173913043,91.84782609
49,49.0,4.917908178999999,2.614776527666667,92.46731529666667
50,50.0,3.8575554879999996,3.0556400123333334,93.08680450333333
51,51.0,2.7972027969999997,3.496503497,93.70629371
52,52.0,12.975912974666667,2.672882673333333,84.35120435333333
53,53.0,23.154623152333336,1.8492618496666664,74.99611499666666
54,54.0,33.33333333,1.025641026,65.64102564
55,55.0,43.671497583333334,0.6837606839999999,55.64474173
56,56.0,54.009661836666666,0.34188034199999995,45.648457820000004
57,57.0,64.34782609,0.0,35.65217391
58,58.0,69.40128296666667,0.0,30.598717033333333
59,59.0,74.45473984333333,0.0,25.545260156666664
60,60.0,79.50819672,0.0,20.49180328
61,61.0,75.32184866,0.0,24.67815134
62,62.0,71.1355006,0.0,28.8644994
63,63.0,66.94915254,0.0,33.05084746
