gene,expr,timepoint
PF3D7_0323100,8.953130,57
PF3D7_0323100,6.370080,9
PF3D7_1432700,8.575340,33
PF3D7_1432700,107.668000,51
PF3D7_1432700,44.281500,60
PF3D7_1432700,6.294190,21
PF3D7_0808700,1.433992,3
PF3D7_0808700,2.028340,60
PF3D7_0808700,11.580700,15
PF3D7_0808700,1.295372,51
PF3D7_0808700,1.650648,45
PF3D7_1111100,28.490500,60
PF3D7_1111100,4.315800,24
PF3D7_1111100,7.621530,33
PF3D7_0711700,1.615595,45
PF3D7_0711700,10.411570,15
PF3D7_0711700,2.163110,60
PF3D7_0711700,1.446358,51
PF3D7_0800300,1.287345,51
PF3D7_0800300,1.549284,3
PF3D7_0800300,1.609450,45
PF3D7_0800300,1.759248,60
PF3D7_0800300,7.740640,15
PF3D7_0506000,8.983140,15
PF3D7_0506000,17.867600,30
PF3D7_0506000,4.551560,57
PF3D7_0506000,5.241690,6
PF3D7_0506000,9.469880,48
PF3D7_1440200,2.489460,15
PF3D7_1440200,4.904700,60
PF3D7_1440200,7.166020,54
PF3D7_0829600,3.337900,33
PF3D7_0829600,3.689120,21
PF3D7_0829600,7.006950,42
PF3D7_0932400,2.170620,24
PF3D7_0932400,3.404290,30
PF3D7_0932400,12.745600,60
PF3D7_1026200,1.643049,15
PF3D7_1026200,10.563250,45
PF3D7_1026200,3.833050,51
PF3D7_1026200,5.443290,36
PF3D7_1337000,1.375784,21
PF3D7_1337000,2.864100,51
PF3D7_1130200,304.582000,57
PF3D7_1130200,1041.560000,45
PF3D7_1130200,260.816000,3
PF3D7_1130200,2023.910000,30
PF3D7_0109500,185.584000,45
PF3D7_0109500,274.363000,30
PF3D7_0109500,45.835600,9
PF3D7_0109500,46.411100,60
PF3D7_0109500,151.828000,51
PF3D7_1004400,16.212900,60
PF3D7_1004400,20.421900,30
PF3D7_1004400,13.767700,54
PF3D7_1004400,6.275070,15
PF3D7_1419800,19.441700,60
PF3D7_1419800,3.427280,18
PF3D7_1419800,62.089200,51
PF3D7_0727800,33.797300,42
PF3D7_0727800,10.595600,6
PF3D7_0727800,14.777500,60
PF3D7_0727800,38.587100,30
PF3D7_0727800,38.763300,24
PF3D7_0412700,1.326863,45
PF3D7_0412700,1.636282,60
PF3D7_0412700,5.204840,15
PF3D7_0412700,1.254793,51
PF3D7_1225100,1.685632,15
PF3D7_1225100,2.662380,54
PF3D7_0615800,8.851570,60
PF3D7_0615800,2.314430,18
PF3D7_0615800,3.411580,33
PF3D7_0615800,2.294060,24
PF3D7_0924200,1.517375,15
PF3D7_0924200,3.517240,54
PF3D7_1029100,1.186654,18
PF3D7_1029100,2.515150,54
PF3D7_1029100,1.352321,24
PF3D7_0905300,1.149363,33
PF3D7_0905300,1.326464,48
PF3D7_0323000,2259.920000,27
PF3D7_0323000,326.397000,9
PF3D7_0323000,519.205000,57
PF3D7_0507100,1225.860000,45
PF3D7_0507100,218.301000,57
PF3D7_0507100,2271.270000,30
PF3D7_0507100,215.216000,3
PF3D7_1468200,24.874700,6
PF3D7_1468200,46.677700,48
PF3D7_1468200,23.211300,57
PF3D7_0312400,60.763200,57
PF3D7_0312400,52.773100,30
PF3D7_0312400,29.397200,21
PF3D7_0526800,11.093000,57
PF3D7_0526800,43.376200,42
PF3D7_0526800,142.929000,30
PF3D7_0526800,23.410000,6
PF3D7_0414300,35.803700,51
PF3D7_0414300,10.906790,60
PF3D7_0414300,59.811100,39
PF3D7_0414300,46.092300,30
PF3D7_0414300,7.884100,12
PF3D7_0700100,1.849708,45
PF3D7_0700100,2.439670,60
PF3D7_0700100,1.843579,51
PF3D7_0104400,31.970300,45
PF3D7_0104400,33.448600,51
PF3D7_0104400,19.853800,6
PF3D7_0104400,7.591900,21
PF3D7_0723900,24.091100,24
PF3D7_0723900,8.505510,60
PF3D7_0723900,18.722100,42
PF3D7_0723900,6.330470,12
PF3D7_1428600,2.972570,24
PF3D7_1428600,3.732440,15
PF3D7_1428600,4.557940,33
PF3D7_1428600,13.726300,60
PF3D7_1337100,35.712500,45
PF3D7_1337100,2.923720,21
PF3D7_1337100,3.064180,15
PF3D7_1337100,7.711860,51
PF3D7_0107900,3.254410,15
PF3D7_0107900,7.283020,57
PF3D7_1332400,15.155800,27
PF3D7_1332400,7.398020,12
PF3D7_1332400,6.360110,57
PF3D7_1332400,7.467580,6
PF3D7_0703200,8.970610,60
PF3D7_0703200,2.537800,24
PF3D7_0703200,10.892190,39
PF3D7_1352800,7.313950,57
PF3D7_1352800,11.465900,27
PF3D7_1352800,5.981090,12
PF3D7_1352800,15.070900,42
PF3D7_0806000,9.890530,27
PF3D7_0806000,2.944100,57
PF3D7_0806000,3.848000,12
PF3D7_0806000,9.479250,42
PF3D7_1435800,1.799700,21
PF3D7_1435800,6.988980,51
PF3D7_0515100,1.462543,18
PF3D7_0515100,2.287810,33
PF3D7_0515100,4.825860,60
PF3D7_0515100,1.381781,24
PF3D7_0808000,1.533211,18
PF3D7_0808000,2.418800,57
PF3D7_0808000,1.660308,27
PF3D7_1133700,4.076300,51
PF3D7_1133700,5.804980,45
PF3D7_1308900,40.930600,60
PF3D7_1308900,177.321000,30
PF3D7_1308900,63.355300,45
PF3D7_1308900,41.963800,54
PF3D7_1308900,39.076200,6
PF3D7_1224600,9.714240,6
PF3D7_1224600,118.566000,30
PF3D7_1224600,7.982510,54
PF3D7_1235600,32.565400,33
PF3D7_1235600,19.040200,24
PF3D7_1235600,150.271000,60
PF3D7_1317300,16.701900,6
PF3D7_1317300,26.924200,60
PF3D7_1317300,70.975100,42
PF3D7_0705900,44.869400,30
PF3D7_0705900,58.317200,60
PF3D7_0705900,28.003600,21
PF3D7_0705900,93.461500,51
PF3D7_0705900,49.901900,36
PF3D7_1115000,8.523020,33
PF3D7_1115000,100.785700,51
PF3D7_1115000,6.668620,18
PF3D7_0306600,35.236000,57
PF3D7_0306600,91.579600,51
PF3D7_0306600,3.780450,21
PF3D7_0616800,8.084130,15
PF3D7_0616800,41.418800,45
PF3D7_0616800,38.973700,51
PF3D7_0616800,17.419500,57
PF3D7_1241700,8.333270,33
PF3D7_1241700,56.314200,51
PF3D7_1241700,5.031290,21
PF3D7_1241700,29.006800,60
PF3D7_0529100,17.629900,3
PF3D7_0529100,2.972680,21
PF3D7_0529100,38.125300,45
PF3D7_0529100,26.433200,51
PF3D7_0529100,10.731730,33
PF3D7_0529100,13.113300,60
PF3D7_0937800,1.862863,3
PF3D7_0937800,2.193100,60
PF3D7_0937800,1.942078,51
PF3D7_0937800,1.713323,45
PF3D7_0223500,9.850570,15
PF3D7_0223500,2.177590,60
PF3D7_0223500,1.822242,51
PF3D7_0223500,1.835575,45
PF3D7_1447900,16.308800,54
PF3D7_1447900,4.434690,12
PF3D7_0201900,2.815850,57
PF3D7_0201900,3.990780,9
PF3D7_1117100,3.202760,24
PF3D7_1117100,3.713210,18
PF3D7_1117100,22.214600,57
PF3D7_1117100,6.183980,33
PF3D7_0419100,11.649000,51
PF3D7_0419100,1.674247,18
PF3D7_0419100,19.707800,45
PF3D7_0419100,4.331640,30
PF3D7_0419100,6.653740,60
PF3D7_1416300,2.011540,18
PF3D7_1416300,3.661950,9
PF3D7_1416300,18.954200,51
PF3D7_1416300,10.476520,60
PF3D7_1309800,2.569350,21
PF3D7_1309800,5.435540,30
PF3D7_1309800,13.017400,51
PF3D7_0611200,3.007830,24
PF3D7_0611200,25.672000,54
PF3D7_0611200,3.180920,18
PF3D7_0611200,4.490380,30
PF3D7_0620100,7.450660,27
PF3D7_0620100,25.069300,57
PF3D7_0620100,11.745300,12
PF3D7_0620100,11.470300,39
PF3D7_0620100,7.109800,21
PF3D7_1343500,8.904290,60
PF3D7_1343500,17.829200,45
PF3D7_1343500,2.154660,21
PF3D7_1343500,3.321410,33
PF3D7_1343500,30.349600,51
PF3D7_0712400,1.337201,45
PF3D7_0712400,1.724654,60
PF3D7_0712400,1.350555,51
PF3D7_1234000,1.800094,18
PF3D7_1234000,2.754590,9
PF3D7_1234000,3.993820,57
PF3D7_1234000,5.016740,36
PF3D7_1234000,6.028840,51
PF3D7_1234000,8.434440,45
PF3D7_0213400,2.132770,15
PF3D7_0213400,12.080000,51
PF3D7_0213400,2.270450,24
PF3D7_0213400,6.934070,60
PF3D7_1145500,2.777860,21
PF3D7_1145500,3.077400,12
PF3D7_1145500,4.956360,60
PF3D7_1145500,7.476390,51
PF3D7_1350700,3.670290,54
PF3D7_1350700,1.895919,18
PF3D7_1350700,3.195080,33
PF3D7_1430700,1.439577,18
PF3D7_1430700,1.883905,33
PF3D7_1430700,6.854420,60
PF3D7_1430700,1.461777,24
PF3D7_1014000,1.369210,24
PF3D7_1014000,1.487485,30
PF3D7_0222900,1.057969,6
PF3D7_0222900,1.141692,60
PF3D7_0222900,1.090083,54
PF3D7_0222900,1.000000,48
PF3D7_0908100,1.436854,15
PF3D7_0908100,1.368218,33
PF3D7_0908100,6.915260,51
PF3D7_0908100,1.285804,24
PF3D7_0501300,3369.480000,21
PF3D7_0501300,3107.830000,15
PF3D7_0501300,25.624500,51
PF3D7_0501300,57.485000,45
PF3D7_1353100,233.765000,45
PF3D7_1353100,45.592300,51
PF3D7_0721600,323.214000,3
PF3D7_0721600,341.974000,57
PF3D7_0721600,2614.550000,30
PF3D7_0721600,1496.300000,45
PF3D7_0721600,1995.450000,15
PF3D7_0721600,2220.690000,21
PF3D7_0316600,32.194000,6
PF3D7_0316600,161.984000,45
PF3D7_0316600,52.320000,60
PF3D7_0316600,85.869600,51
PF3D7_1116200,25.598300,45
PF3D7_1116200,18.482900,6
PF3D7_1116200,12.297800,51
PF3D7_1116200,189.310000,30
PF3D7_1116200,12.577300,60
PF3D7_0811400,147.542000,45
PF3D7_0811400,48.688600,60
PF3D7_0811400,35.148200,6
PF3D7_0811400,164.582000,30
PF3D7_0811400,125.940000,18
PF3D7_1439500,5.121880,36
PF3D7_1439500,5.315890,42
PF3D7_1357900,24.248400,6
PF3D7_1357900,16.245400,12
PF3D7_1357900,29.831000,54
PF3D7_1357900,17.795700,60
PF3D7_1414000,16.604700,18
PF3D7_1414000,25.284100,33
PF3D7_1414000,87.792800,60
PF3D7_1414000,15.764900,24
PF3D7_1423600,48.947100,33
PF3D7_1423600,8.870120,9
PF3D7_1423600,42.905600,45
PF3D7_1423600,26.378400,51
PF3D7_1423600,14.059000,3
PF3D7_1423600,15.401800,60
PF3D7_1132300,24.661400,57
PF3D7_1132300,10.105160,15
PF3D7_1450600,8.357110,3
PF3D7_1450600,9.745270,54
PF3D7_1450600,35.283500,18
PF3D7_1450600,46.167500,30
PF3D7_0810800,9.203430,54
PF3D7_0810800,3.812250,9
PF3D7_0810800,7.601140,60
PF3D7_1359200,28.877900,36
PF3D7_1359200,11.484400,21
PF3D7_1359200,12.660600,27
PF3D7_1359200,20.696400,54
PF3D7_0611900,8.292190,21
PF3D7_0611900,38.294000,36
PF3D7_0611900,29.591500,30
PF3D7_0611900,6.119410,15
PF3D7_0611900,23.879900,51
PF3D7_0715800,19.707600,60
PF3D7_0715800,9.699370,33
PF3D7_0715800,3.495040,15
PF3D7_0715800,41.025100,45
PF3D7_1330600,19.605200,60
PF3D7_1330600,4.169250,24
PF3D7_1330600,21.685100,54
PF3D7_1330600,6.639040,33
PF3D7_1308100,11.108400,60
PF3D7_1308100,2.699810,21
PF3D7_1308100,3.759510,12
PF3D7_1308100,28.483800,45
PF3D7_1112400,2.080140,15
PF3D7_1112400,3.002200,24
PF3D7_1112400,12.552400,60
PF3D7_1112400,5.612860,33
PF3D7_0417200,40.659300,51
PF3D7_0417200,2.782050,21
PF3D7_0417200,3.199290,33
PF3D7_0417200,18.056900,60
PF3D7_0307500,9.901520,60
PF3D7_0307500,2.534290,21
PF3D7_0307600,2.171430,21
PF3D7_0307600,3.113030,12
PF3D7_0307600,4.701740,36
PF3D7_0307600,10.911560,60
PF3D7_0308000,3.596980,60
PF3D7_0308000,2.140040,15
PF3D7_0308000,3.979990,54
PF3D7_0308000,2.084870,24
PF3D7_0308000,7.546400,48
PF3D7_1443500,1.576059,21
PF3D7_1443500,2.091700,54
PF3D7_0408900,8.247370,57
PF3D7_0408900,1.521392,21
PF3D7_0408900,2.544670,33
PF3D7_0411300,8.598100,42
PF3D7_0411300,2.553220,12
PF3D7_0411300,5.126550,60
PF3D7_0411300,2.135230,18
PF3D7_0411300,5.399040,54
PF3D7_1450900,8.124930,51
PF3D7_1450900,1.588276,18
PF3D7_1450900,5.375780,57
PF3D7_1450900,1.853043,30
PF3D7_0726600,2.470220,12
PF3D7_0726600,5.638210,60
PF3D7_0726600,2.009130,21
PF3D7_0726600,6.757890,54
PF3D7_0726600,2.146730,30
PF3D7_0603200,7.383560,57
PF3D7_0603200,1.394366,18
PF3D7_0603200,2.304710,33
PF3D7_0603200,7.892370,51
PF3D7_0603200,1.434010,24
PF3D7_1112300,1.368835,12
PF3D7_1112300,2.998210,57
PF3D7_1112300,1.278832,21
PF3D7_0919500,1.259697,18
PF3D7_0919500,1.789066,39
PF3D7_0919500,1.210121,30
PF3D7_0919500,2.501810,60
PF3D7_0919500,1.035725,24
PF3D7_0304800,1.113619,21
PF3D7_0304800,2.101780,57
PF3D7_0304800,3.148660,48
PF3D7_0304800,1.229378,33
PF3D7_1010700,232.482000,45
