,Hour,Ring,Troph,Schizont
0,0,2.777777778,0.0,97.22222222
1,1,47.99816290592487,0.0,52.0018370944823
2,2,82.88669725251641,0.0,17.113302749742374
3,3,97.4789916,0.0,2.521008403
4,4,98.42248911237247,0.0,1.5775108906279933
5,5,98.99852506118624,0.0,1.0014749418139968
6,6,99.19354839,0.0,0.806451613
7,7,99.12082489481482,0.0,0.8791751079259259
8,8,98.98576697518519,0.0,1.014233027074074
9,9,98.91304348,0.0,1.086956522
10,10,99.19484702222222,0.0,0.8051529792592592
11,11,99.71819645777778,0.0,0.2818035427407407
12,12,100.0,0.0,0.0
13,13,100.0,0.0,0.0
14,14,100.0,0.0,0.0
15,15,100.0,0.0,0.0
16,16,99.83721152860448,0.1627884707090954,0.0
17,17,99.4860991394312,0.5139008585293019,0.0
18,18,99.15254237,0.847457627,0.0
19,19,98.9579830291741,1.0420169676428994,0.0
20,20,98.77798532638388,1.2220146705241965,0.0
21,21,98.4496124,1.5503875969999998,0.0
22,22,93.93288351729682,6.0671164802730155,0.0
23,23,83.64551400929841,16.35448598950708,0.0
24,24,71.11111111,28.88888889,0.0
25,25,50.89953294294043,49.10046705747658,0.0
26,26,25.803037567180883,74.19696243302762,0.0
27,27,11.67883212,88.32116788,0.0
28,28,8.764730156459855,91.23526984354014,0.0
29,29,6.864785793229927,93.13521420677009,0.0
30,30,6.18556701,93.81443299,0.0
31,31,6.266806342298092,93.73636853987368,0.0
32,32,6.497284751707296,93.50906501196957,0.0
33,33,6.857142857,93.14285714,0.0
34,34,9.485610497922334,89.90361614731682,1.255975017804811
35,35,13.929220902072277,82.79157357869911,4.579133498054066
36,36,16.27906977,74.41860465,9.302325581
37,37,12.82109743322222,62.779738485140996,23.33412232808498
38,38,6.399148807777778,48.7834459136967,44.64197606313995
39,39,2.9411764710000003,39.41176471,57.64705882
40,40,3.6433908154814816,35.99104300322488,60.12696100208213
41,41,4.9475031695185185,33.74649877536884,61.542971018136974
42,42,5.649717514,30.50847458,63.84180791
43,43,5.265222849962963,21.769494578695713,72.69698290090916
44,44,4.551161331037037,10.033027630015331,85.59176279378792
45,45,4.166666667,3.645833333,92.1875
46,46,4.636339238148149,2.850755581591516,92.0994363937037
47,47,5.508588298851852,2.3487876134068695,91.93588969629629
48,48,5.97826087,2.173913043,91.84782609
49,49,5.1535421103333325,2.5168068644074078,92.32965102851853
50,50,3.621921556666666,3.1536096755925924,93.22446877148148
51,51,2.7972027969999997,3.496503497,93.70629371
52,52,8.434462359873827,2.963285274885544,88.57790506842707
53,53,20.857528707858766,1.8809865036599767,77.21279018907634
54,54,33.33333333,1.025641026,65.64102564
55,55,44.42458903071852,0.5449825896363193,55.062371410310206
56,56,55.56940917439185,0.15853118081815962,44.262903814790505
57,57,64.34782609,0.0,35.65217391
58,58,71.29543006573434,0.0,28.738073061967622
59,59,77.08629901842272,0.0,22.930452545428253
60,60,79.50819672,0.0,20.49180328
61,61,78.20909279074074,0.0,21.79090720925926
62,62,74.11909015481481,0.0,25.880909845185183
63,63,66.94915254,0.0,33.05084746
