time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63	66	69
PF3D7_0103600	4.89675	3.13433	1.453994	2.00459	2.42364	2.45033	2.2315	3.63093	3.05284	6.36857	12.9892	15.4798	19.128	13.6801	10.38153	7.07755	4.07259	3.55935	2.6286	2.25878	1.818142	2.71991	2.72347	3.52803
PF3D7_0103700	4.15179	2.91127	1.664024	7.12544	9.87976	11.1822	9.03681	12.0234	10.11057	10.44236	9.38216	7.83926	8.07918	6.23214	5.56602	3.8524	2.53207	4.16525	5.45192	9.27909	9.69607	11.4185	8.95564	10.83493
PF3D7_0103800	21.6156	9.81053	1.992759	1.599117	1.132098	1.27184	1	1	1.153908	1.0669049	1.0611311	1.0413973	1.822578	6.76971	14.5942	20.082	9.2623	13.9003	4.78698	1.759647	1.444485	1.1807	1.101371	1.0414193
PF3D7_0103900	17.0911	7.60301	1.961318	2.52947	9.09929	12.2651	9.08606	8.91655	7.06975	7.06044	9.81468	16.1526	30.2639	34.1605	26.0943	20.5084	6.24254	7.83078	4.53572	8.15921	10.75754	9.7075	7.45481	6.58954
PF3D7_0104100	44.2117	19.2243	3.57556	1.740151	1.485502	1.411395	1.0683608	1.2525	1.0332743	1.0289291	1.0528651	1.0178998	2.75467	10.81117	24.4356	33.941	16.1745	25.4141	5.7387	2.02404	1.55255	1.515678	1.043832	1.107456
PF3D7_0104200	293.811	1336.87	309.639	58.3416	20.8973	8.83736	4.84495	4.66499	5.34674	39.0535	140.606	158.446	120.685	111.853	125.838	308.735	543.936	502.493	561.829	171.863	37.8317	22.3208	9.82745	14.6474
PF3D7_0104300	31.2157	402.411	540.411	236.668	139.346	105.389	82.4801	73.1534	56.1008	60.1782	45.1169	41.2304	27.9541	22.1193	21.9693	55.8399	280.124	195.648	216.492	155.356	106.582	91.9666	75.6243	66.9113
PF3D7_0104400	19.2541	17.8829	12.573	8.95735	6.52224	5.54563	3.48507	2.51897	1.772082	5.29605	14.0026	20.7702	19.8534	21.0009	18.5949	17.4376	10.68485	17.7802	11.0552	7.39612	5.08789	3.34477	3.12452	3.43795
PF3D7_0104500	6.26675	3.48406	14.3153	42.7085	76.2007	78.782	68.1489	67.333	69.2359	58.6301	65.7732	73.1807	52.1592	35.5589	14.3305	10.0482	7.70511	13.4623	30.2441	53.1421	69.8068	77.1554	70.341	65.8738
PF3D7_0104600	2.73965	1.586074	2.15189	3.75954	5.22659	5.36562	3.99621	7.49962	6.45477	8.26187	6.44656	5.88044	5.89941	4.27705	3.12916	2.77898	1.906032	2.40404	3.21718	4.18943	5.93658	5.05606	5.5159	6.98402
PF3D7_0104800	51.4944	75.6868	9.87909	2.8912	1.405404	1.250281	1.242601	1.199129	1.047234	1.246395	3.32636	8.8261	39.8431	52.9294	56.9157	54.0163	36.0475	45.2061	30.4779	7.71973	2.77334	2.41968	1.269624	1.254229
PF3D7_0104900	6026.35	10932.2	11619.6	8563.75	4790.05	4508.19	1921.26	6440.79	12404.3	5445.78	4751.77	3176.87	3201.27	3697.35	5151.71	5364.58	7775.8	7552.99	11779.2	6294.91	7126.13	4651.74	5713.97	6796.49
PF3D7_0105000	50.0462	191.698	144.795	142.487	96.5984	99.3649	111.931	114.936	244.685	133.721	90.828	73.3883	90.4455	89.0428	86.1777	50.9191	100.1706	102.448	208.834	123.131	121.015	100.8379	122.897	162.591
