time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63	66	69
PF3D7_0100300	3.27976	5.95829	12.655	13.0809	10.6752	5.14609	1.819068	1.422627	1.405405	1.479157	1.936007	2.27023	3.32676	6.43034	10.21421	14.0364	15.3338	6.60757	3.04828	1.805261	1.763427	1.580913	1.860738	2.66071
PF3D7_0100700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4.86073	3.53918	1	1	2.70375	1	1	1
PF3D7_0100800	2.03674	1.436417	1.552105	1.217364	1.488875	6.59098	10.77754	3.64994	1.768172	1.500582	2.2695	3.06737	1.942873	1.404835	1.423256	1.218358	1.842896	7.92959	8.60386	3.89105	1.619955	2.0567	2.25257	3.54477
PF3D7_0102000	7.82423	4.13523	2.17231	1.323078	3.17991	4.00579	3.16262	1.735806	1.304472	1.043767	1.0554977	1.0903776	3.80287	3.52724	2.34808	1.730251	2.04403	2.3733	4.29641	1.0954911	1.27644	1.112187	1	1.122013
PF3D7_0102200	8918.93	7732.39	3282.59	902.822	239.458	76.5982	22.6375	7.41176	6.29646	3.88512	9.91229	609.926	7510.46	8341.57	3567.64	1122.65	1146.74	94.8224	21.9194	124.5	6.92246	11.4152	13.9829	180.831
PF3D7_0102300	21.3903	6.20723	5.34347	2.49627	3.24352	3.62037	36.8964	132.498	224.078	138.186	61.0413	33.4807	10.23089	4.56706	1.66596	1.601246	1	3.03526	14.9581	48.0551	76.7924	94.1074	62.5059	25.8635
PF3D7_0102400	4.63529	3.35919	2.10625	2.47672	2.07139	3.18987	7.07124	10.54719	15.1413	17.2621	13.5034	10.91433	6.51026	2.77443	2.21911	1.574249	1.12315	1.728952	3.22189	5.67445	6.70636	10.26321	9.78418	8.62786
PF3D7_0102500	1964.66	282.931	54.6137	20.6938	8.6908	4.68051	3.34359	2.44156	3.1284	2.10959	38.2023	698.756	1452.56	491.044	60.1726	18.3034	8.26582	3.85014	2.31092	2.95808	3.18724	2.71487	21.6979	234.604
PF3D7_0102600	47.2795	29.3478	16.0203	19.8788	147.146	244.515	83.4242	16.9346	9.16499	5.52089	3.09461	5.63784	37.2933	37.1773	16.8887	29.9582	121.563	145.355	105.614	25.438	8.71834	5.27134	4.36438	3.10055
PF3D7_0102700	944.677	741.864	328.156	186.291	97.1002	65.1611	32.8536	19.4463	12.1301	9.07763	6.5914	99.4689	844.004	837.073	416.792	220.85	84.5904	49.2425	22.4971	15.8142	9.95517	7.40163	8.95381	18.7322
PF3D7_0102800	1.911817	1.59707	1.404649	1.529707	1.418024	1.640817	3.71717	5.13836	4.86224	5.44149	3.85428	3.1837	1.752478	1.332317	1.46532	1.308075	1.648665	2.13766	3.60074	5.4497	8.76077	7.46688	6.38197	6.39078
