time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60
PF3D7_0103400	6.90247	8.63696	19.0883	35.6778	56.8846	52.0981	50.2421	41.8618	35.1225	24.8525	47.4605	103.666	161.113	82.032	12.8854	20.9241	34.2706	43.6849	44.2465	41.5024	34.1044
PF3D7_0103500	2.14975	1.611001	1.646948	1.759468	3.4143	8.30919	13.6335	13.4449	7.60184	5.80543	4.74854	8.2953	8.26806	6.10006	2.59484	2.16492	3.57308	7.05702	11.7021	12.5953	9.45903
PF3D7_0103600	4.71746	5.87996	8.76964	14.6571	18.0072	20.7208	19.9643	20.0268	13.1917	9.18061	7.3729	6.87641	7.34582	6.11361	5.82717	9.36642	16.977	18.1068	18.8843	18.8533	15.7736
PF3D7_0103700	15.5282	14.4119	12.564	10.76441	10.07242	9.44021	8.9462	11.0241	8.12723	6.17107	4.19546	3.58842	6.1358	5.39034	9.96602	11.9905	10.57579	8.04686	9.29659	9.60617	8.35047
PF3D7_0103800	1.44482	1.373479	1.351964	1.305565	1.343036	1.328687	1.119978	2.98249	10.887	18.2574	11.9812	13.0115	8.6924	7.04898	2.20658	1.824807	1.241617	1.273217	1.737243	3.33323	7.22894
PF3D7_0103900	5.79643	8.52153	11.6882	14.6644	18.8566	34.6936	43.5694	52.2055	41.59	28.6448	14.6633	12.7951	7.81692	7.49856	8.60217	10.92972	21.9848	32.4399	45.4651	47.0487	44.1424
PF3D7_0104000	1	1.201654	1.191701	1	1.138441	1.106992	1.129686	2.30025	3.73897	5.95248	3.89614	2.14409	1.743972	3.63918	1.453696	1.412408	1.468144	1.620385	1.692647	2.08279	2.89036
PF3D7_0104100	1.384629	1.188536	1.177271	1.0752779	1.111441	1.0568259	1.155683	4.01052	17.2403	33.3239	34.5632	27.445	10.55712	5.78261	1.821989	1.384028	1.418529	1.0339531	1.574939	4.26115	10.12536
PF3D7_0104200	34.2666	20.7827	59.9162	158.456	223.404	188.022	154.912	138.789	166.203	221.089	687.71	1584.7	2981.64	1225.15	71.2416	82.328	158.342	178.258	153.142	141.198	148.232
PF3D7_0104300	173.096	122.819	90.1891	79.3936	70.9812	48.3539	38.5605	33.8791	27.6003	23.1096	62.5214	158.963	784.415	644.508	113.762	89.1271	72.2083	50.801	34.8424	32.2314	28.3202
PF3D7_0104400	6.15677	5.12352	10.72163	20.7911	28.7628	33.3102	30.6444	38.7613	38.0839	32.5362	38.8721	35.2247	34.5338	34.2482	6.7395	11.4389	21.575	28.5063	31.5849	33.5078	34.5756
PF3D7_0104500	108.842	94.5422	92.7414	100.3285	100.727	96.06	88.0514	62.5052	30.6549	13.9792	9.45886	9.0699	15.1995	15.9561	66.127	85.1602	82.5574	87.5194	80.6463	68.201	42.8169
PF3D7_0104600	12.7856	9.71003	9.71654	9.15491	8.17212	11.2362	9.50809	6.665	3.7584	3.78748	3.78363	2.45066	3.60632	5.57292	8.25589	9.1345	10.14077	10.33353	9.96421	8.3362	5.36997
PF3D7_0104700	1.576543	1.51471	1.341689	1.253954	1.104384	1.127773	1.311136	1.307872	1.308165	1.132332	1.171927	1.279046	2.316	3.76011	2.60038	1.493408	1.305789	1.209819	1.408348	1.405877	1.236154
PF3D7_0104800	2.72904	2.56722	1.755305	2.84505	8.19375	33.19	56.1945	65.8464	72.6199	56.4404	65.2839	169.184	124.885	58.4881	5.58325	3.10277	9.64018	26.3762	44.1077	54.4511	65.4926
PF3D7_0104900	8695.11	7758.99	5745.82	5677.56	7275.79	4281.04	4204.45	6151.78	4870.65	7360.36	11011.8	12788.6	21576.8	17751.4	11377.9	6552.34	6158.07	4029.7	3527.14	3955.47	3981.28
