time_points	0	3	6	9	12	15	18	21	24	27	30	33	36	39	42	45	48	51	54	57	60	63
PF3D7_0100800	1.200841	1.188306	1	1	1.376624	1.322481	1.766822	1.0869979	1.421954	1.146962	1.576118	1.652356	8.63973	11.9839	6.86124	2.63495	2.52771	1.439404	2.00242	1.382577	1.344905	1
PF3D7_0100900	1.147438	1.552943	1.157847	1.15676	1	1.0789116	1	1.085154	1.103253	1.287695	1.0433775	1.159632	2.22683	4.20361	4.30188	1.994779	1.249222	1.0537614	1	1.249645	1.192911	1
PF3D7_0101000	1.143386	1.0597497	1	1	1.179255	1	1.243314	1.207034	1.251038	1.139894	1.0421854	2.6042	23.7828	49.7402	23.8392	7.35145	3.6661	1.731974	2.78914	2.5781	1.562828	1.358505
PF3D7_0101300	1.579387	1.310414	1.26584	1	1	1	1	1	1	1	1	1.0896153	5.5259	17.6434	14.6937	4.49641	1.419728	1.0905426	1.206556	1	1.0812232	1.620842
PF3D7_0101600	1.46055	1.28787	1.0739598	1.0734504	1.086364	1.0739485	1.175841	1.199496	1.0967587	1.2696	1.162597	1.24932	4.88697	7.7675	4.21024	2.29699	1.583867	1.2519	1.229866	1	1.361556	1
PF3D7_0101800	1	1	1	1	1	1	1	1	1.0658063	1	1.110583	1	1.521264	2.38425	3.20961	1.441046	1.317674	1.0685277	1	1	1	1
PF3D7_0102000	1	1.559775	3.15727	5.1658	3.23918	2.07847	3.27953	2.35775	2.56793	2.31062	1.526961	1.404011	1.798419	2.56663	1.313376	1.328392	1.378451	1	1.558729	6.87596	3.05059	7.15765
PF3D7_0102200	46.4379	1024.69	1	1	23321.6	14185.7	8264.69	3515.92	1645.72	1290.06	393.953	259.926	111.478	109.028	45.0469	24.2231	32.0458	122.011	2429.45	7333.35	5299.54	6116.75
PF3D7_0102300	38.3283	31.0728	20.0938	6.29181	6.70367	2.33192	2.75953	2.91638	3.32369	3.42795	3.19646	2.49688	2.97212	14.1363	71.8252	101.5	65.5001	30.3399	44.4723	37.5185	16.7377	40.4066
PF3D7_0102400	8.74666	7.43781	5.24104	3.38671	2.4857	1.989425	2.00831	1.686375	1.970968	1.772979	2.94244	4.14527	5.02874	4.45271	8.24505	6.77164	5.57566	5.28523	9.34801	9.94329	4.585	10.24422
PF3D7_0102500	4.96026	84.201	124.279	42.5495	17.4008	7.35882	4.5293	4.21398	3.29928	3.57889	3.64408	19.1152	4.27438	4.45323	2.56558	3.39968	3.25754	22.0623	228.611	338.816	398.537	351.898
PF3D7_0102600	6.31219	7.05398	15.9588	26.0223	18.6066	15.9565	9.58459	7.61425	8.81241	8.37649	6.53918	17.7999	102.358	110.275	34.2623	7.63202	27.4372	3.75688	6.48773	7.65191	6.06747	8.22787
PF3D7_0102700	9.05127	44.1715	394.016	625.941	313.567	282.629	102.197	58.7032	33.5024	16.9701	16.7982	19.8752	10.25426	12.6155	11.6173	6.38738	11.2915	4.1299	25.908	90.2316	79.2903	62.3896
PF3D7_0102800	5.19889	4.1559	3.19251	2.64333	2.5458	2.28222	1.95075	1.624873	1.378842	1.527787	1.682094	1.725156	1.949259	2.90687	5.45653	6.48622	4.72297	5.3396	2.60714	2.70108	3.5026	2.35256
PF3D7_0102900	30.4634	23.1494	29.4532	87.121	114.208	121.748	119.669	119.873	114.032	110.545	93.1821	95.4884	82.0806	85.5428	125.388	94.1183	89.2076	31.8965	39.2542	46.19	23.5394	36.0913
PF3D7_0103000	13.4576	8.15294	6.11776	5.15842	3.58058	3.90737	3.76535	4.26286	3.66293	3.54392	4.19635	3.66623	3.41069	2.92052	8.60328	9.0951	14.7733	25.3236	42.9337	30.2489	9.67115	22.1876
PF3D7_0103100	5.95397	4.55156	3.12434	2.48671	1.882372	1.727013	1.508456	1.499942	1.624853	1.545698	1.979503	1.480619	1.69653	2.26535	4.09421	5.03162	6.96531	8.70149	6.98206	5.26173	4.38905	7.99228
PF3D7_0103200	67.5147	49.4692	34.4143	33.5797	31.9873	44.3284	59.1714	68.0804	75.689	95.1807	85.7998	88.8144	123.858	178.628	302.103	176.71	212.893	73.8027	112.134	105.442	42.0228	72.6393
PF3D7_0103300	7.4734	7.15112	7.74668	21.8828	40.391	47.1959	43.9823	44.095	40.7189	34.4448	32.771	28.6813	25.1343	16.9296	10.40397	10.33669	11.362	10.08414	7.03764	8.18272	13.6408	11.7902
PF3D7_0103400	16.1392	19.937	21.0107	14.7725	16.0011	19.1234	18.945	19.0204	18.0702	22.8149	19.6676	12.8134	18.4744	24.0112	28.8056	25.7783	25.3262	21.1965	50.2715	124.248	96.6521	57.1065
PF3D7_0103500	6.20513	6.45718	5.0586	4.74004	4.10505	4.12935	3.188	3.25813	2.69778	2.18263	2.20274	2.72415	2.29964	3.80977	7.85975	8.86477	5.88135	3.92931	4.34134	10.47747	8.0904	3.55532
PF3D7_0103600	9.52542	7.69815	6.48249	3.78286	3.47188	3.20789	3.34142	4.05623	3.95867	3.74793	5.00093	5.80522	8.8008	7.38078	3.88302	6.33296	3.88539	3.71794	2.1123	2.46924	3.48472	3.77416
PF3D7_0103700	4.0614	4.23261	3.72068	3.41753	4.5114	3.43392	5.00969	6.45891	5.77704	4.47983	5.53843	3.44573	4.28581	4.90778	2.84713	4.24352	2.50724	2.85328	1.222522	1.603919	2.54586	3.00649
PF3D7_0103800	12.3314	11.9436	8.20749	5.89002	5.49981	4.21077	4.50636	5.19621	5.24784	6.4627	6.05952	4.9452	4.75041	3.74936	4.32137	6.31855	8.3236	14.9025	29.7218	28.1998	12.0761	26.3319
PF3D7_0103900	19.2093	13.1863	6.9804	4.75568	5.21059	6.89155	9.95627	13.5017	11.9593	10.29703	10.30485	8.76757	11.0904	17.004	19.7419	27.7248	15.6495	16.9056	8.79013	7.32877	6.91159	15.5828
PF3D7_0104000	1.144788	2.08601	1.232516	1	1.543025	1.464961	2.10562	1.752613	2.06467	2.27136	1.511175	1	1.172112	1	1.243191	1.382266	2.10134	2.90063	6.05859	1	1.284166	4.25811
PF3D7_0104100	9.05071	5.05936	2.63537	1.735444	1.828714	1.740431	1.268989	1.549315	1.343126	1.674863	3.13682	1.561689	1.15988	1.233514	1.0968177	2.28512	5.9205	22.2287	13.5629	10.85774	6.65654	11.0886
PF3D7_0104200	88.7107	224.568	315.236	130.154	62.3853	41.6939	30.3268	20.631	17.9553	30.9988	39.8309	68.5626	74.8044	115.316	129.174	111.846	149.144	193.277	724.65	1191.88	998.56	194.763
